Sl.No,Poem,Source,Primary
1,"காதல் என்பது உயிரினும் இனிது, உன் சிரிப்பில் உலகமே மறக்கிறேன்","திருக்குறள்","Love"
2,"மகிழ்ச்சி பெருகுது நெஞ்சில், சிரிப்போம் இன்று முழுதும்","பாரதி","Joy"
3,"துயரம் நிறைந்த என் உள்ளம், கண்ணீரில் மூழ்கிறது","கம்பர்","Sorrow"
4,"சீற்றம் வந்து பொங்குகிறது, பழிவாங்குவேன் நான்","புறநானூறு","Anger"
5,"வீரம் பொங்கும் என் மார்பில், அச்சம் இல்லை எனக்கு","சிலப்பதிகாரம்","Courage"
6,"அச்சம் கொண்டேன் இந்த இருளில், பயமாக இருக்கிறது","அகநானூறு","Fear"
7,"வெறுப்பு மட்டும் எஞ்சுகிறது, வஞ்சகம் தாங்க முடியவில்லை","மணிமேகலை","Disgust"
8,"ஆச்சரியம் நிறைந்த காட்சி, அறிவு விளக்குகிறது உண்மையை","நான்மணிக்கடிகை","Wonder"
9,"அமைதி நிலவுகிறது மனதில், திருப்தி பொங்குகிறது","திருவாசகம்","Calmness"
10,"பக்தி பெருகுகிறது உள்ளத்தில், இறைவனை வணங்குகிறேன்","தேவாரம்","Devotion"
11,"காதல் தீயாக எரிகிறது, உன் நினைவில் உருகுகிறேன்","நற்றிணை","Love"
12,"சந்தோஷம் நிறைந்த நாள், மகிழ்ச்சியுடன் நடனமாடுவோம்","பாரதிதாசன்","Joy"
13,"வருத்தம் வாட்டுகிறது என்னை, சோகம் தொடர்கிறது","முத்தொள்ளாயிரம்","Sorrow"
14,"கோபம் கொந்தளிக்கிறது, வெறி பிடித்து விட்டது","பட்டினப்பாலை","Anger"
15,"தைரியம் இருக்கிறது என்னிடம், போர்க்களத்தில் நிற்பேன்","மதுரைக்காஞ்சி","Pride"
16,"பயம் சூழ்ந்து கொண்டது, எச்சரிக்கையாக செல்கிறேன்","குறுந்தொகை","Caution"
17,"வெறுப்பு உணர்கிறேன், துரோகத்தை ஏற்க முடியவில்லை","சீவக சிந்தாமணி","Betrayal"
18,"அதிசயம் காண்கிறேன், ஞானம் பெறுகிறேன்","திருமந்திரம்","Wisdom"
19,"நிம்மதி உண்டு இப்போது, மனநிறைவு பெறுகிறேன்","பெரிய புராணம்","Contentment"
20,"பக்தி கொண்டு வணங்குகிறேன், நன்றியுடன் வாழ்கிறேன்","நாலாயிர திவ்ய பிரபந்தம்","Gratitude"
21,"ஆசை மனதை ஆட்கொள்கிறது, காதல் கனவு காண்கிறேன்","ஐங்குறுநூறு","Love"
22,"மகிழ்வு பொங்கி வருகிறது, சிரிப்பு நிறுத்த முடியவில்லை","கலித்தொகை","Joy"
23,"துன்பம் தாங்க முடியவில்லை, கண்ணீர் வற்றாமல் பெருகுகிறது","பரிபாடல்","Sorrow"
24,"ஆத்திரம் மூண்டு விட்டது, சினம் கொப்பளிக்கிறது","பெருங்கதை","Anger"
25,"நம்பிக்கை மட்டுமே ஆதாரம், தைரியமாக எதிர்கொள்கிறேன்","புகார்","Confidence"
26,"அச்சுறுத்தல் உணர்கிறேன், எச்சரிக்கையாக இருக்கிறேன்","களவழி நாற்பது","Fear"
27,"அருவருப்பு மிகுகிறது, வஞ்சகத்தை வெறுக்கிறேன்","உதயணன் கதை","Disgust"
28,"அற்புதம் காண்கிறேன், புரிதல் பிறக்கிறது","யோக சூத்திரம்","Clarity"
29,"அமைதியான நிலையில் இருக்கிறேன், திருப்தி அடைந்தேன்","கண்ணகி","Calmness"
30,"பணிவுடன் வணங்குகிறேன், கடவுளிடம் நன்றி செலுத்துகிறேன்","அப்பர் தேவாரம்","Reverence"
31,"இனிமை நிறைந்த காதல், உன்னை நினைத்து கசிகிறேன்","திருமுறை","Love"
32,"சந்தோஷம் குதிக்கிறது மனதில், மகிழ்ச்சியுடன் பாடுகிறேன்","பூங்குன்றன் பாடல்","Joy"
33,"இழப்பின் வலி தாங்க முடியவில்லை, சோகத்தில் மூழ்கிறேன்","நீலகேசி","Sorrow"
34,"கோபம் பொங்குகிறது, கடும் சினம் கொள்கிறேன்","வளையாபதி","Anger"
35,"வீரம் விளங்குகிறது, பெருமையுடன் நிற்கிறேன்","பெருங்கதை","Courage"
36,"பயந்து நடுங்குகிறேன், அச்சம் பீடித்து உள்ளது","பத்துப்பாட்டு","Fear"
37,"வெறுப்பு நிரம்பி வழிகிறது, துரோகம் தாங்க முடியவில்லை","வீர சோழியம்","Betrayal"
38,"ஆச்சரியம் அடைகிறேன், புதிய அறிவு பெறுகிறேன்","ஞான சாரம்","Wonder"
39,"மனம் அமைதியாக உள்ளது, நிறைவு பெற்றுள்ளேன்","திருமூலர்","Contentment"
40,"பக்தி மிகுந்து உள்ளது, இறைவனை துதிக்கிறேன்","சுந்தரர் தேவாரம்","Devotion"
